file,category,description,generated_by,geometry_version,material_version,sha256
mesh/empty_off_reference/mos2_gaa_empty_off_reference.vtm,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference.vtm,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e6748066e1e78d0fb90a9349dc2e4e9871453447b6ec8dc9374bc08f92a898ac
mesh/empty_off_reference/mos2_gaa_empty_off_reference_0.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_0.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e72d21225fba3161e8ec9a1eea10b9c10e7160dfd0e6c53489fc7565cb2810c4
mesh/empty_off_reference/mos2_gaa_empty_off_reference_1.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_1.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,52c03d8b0b9d698ab79291866d973d796692616bd060179a8e425041520066d2
mesh/empty_off_reference/mos2_gaa_empty_off_reference_2.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_2.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,4c4895a1f929c77dc9659ec6b5c1bda4723ab3901f950f329b373d6aeec20452
mesh/empty_off_reference/mos2_gaa_empty_off_reference_3.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_3.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,fb1b930e79e0a18bbd89f359d3b9db66f704f1dc9d9d3a77adfcfe31d411b30b
mesh/empty_off_reference/mos2_gaa_empty_off_reference_4.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_4.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,02bb6de169763fc0b9f05c2a761507a5ba9767e4ff0e97d4c9f2d306ec2f1cb3
mesh/empty_off_reference/mos2_gaa_empty_off_reference_5.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_5.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,3897ec008f96ad3e10b5a961f4f9c42f0fbe033fe1d7866ea9c32d10b0f5d7c1
mesh/empty_off_reference/mos2_gaa_empty_off_reference_6.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_off_reference_6.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,65e5dcc3540389695919ae2da361763a53365442658e5c80bc1ef9198b51474d
mesh/empty_on_reference/mos2_gaa_empty_on_reference.visit,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference.visit,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,ea59ea8327dbd82f6a18ff8071384b5f872559afb73d02645026d7aa907f59da
mesh/empty_on_reference/mos2_gaa_empty_on_reference.vtm,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference.vtm,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,20edf4b01c454357dcf2101b9ba1aece3657617a4f8ab8a4c924f9df74ad32c5
mesh/empty_on_reference/mos2_gaa_empty_on_reference_0.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_0.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e72d21225fba3161e8ec9a1eea10b9c10e7160dfd0e6c53489fc7565cb2810c4
mesh/empty_on_reference/mos2_gaa_empty_on_reference_1.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_1.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,b89aa7fc5560566068e7a8338eb74bba9be17e1fedc7f03fd5ec93b2d2b61f16
mesh/empty_on_reference/mos2_gaa_empty_on_reference_2.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_2.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,a27b4d616a0a02287c9518f1762bdd7cc48a574998fef2440b0cfed2b73d470a
mesh/empty_on_reference/mos2_gaa_empty_on_reference_3.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_3.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,aa33178173321715ac911c60b3d98befaf08913c58b10cb3273c695d04dfe913
mesh/empty_on_reference/mos2_gaa_empty_on_reference_4.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_4.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,02bb6de169763fc0b9f05c2a761507a5ba9767e4ff0e97d4c9f2d306ec2f1cb3
mesh/empty_on_reference/mos2_gaa_empty_on_reference_5.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_5.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,fe84be59c5258233e5cde6ed219a07ea2813a4d24fc602e1373f29b59da5298d
mesh/empty_on_reference/mos2_gaa_empty_on_reference_6.vtu,visualization,Compact-model handoff artifact: mos2_gaa_empty_on_reference_6.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,c660214a1bed6e73fe21579f8ea586d843cd3132c2ae8a5f390115eae99be101
mesh/mos2_gaa_final_3_5_16nm.msh,mesh,Compact-model handoff artifact: mos2_gaa_final_3_5_16nm.msh,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,a0dc7ee98f5b7c761b703706c1ddf3a5b86ee5c45b3e258e8e16fda435e1e939
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference.visit,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference.visit,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,61c209cb13ea15a3074b88fe4679bb62b6f745a95a9a3a2660269d4e2f6d9514
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference.vtm,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference.vtm,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,4379bd3890323c9d2412018034a4437d6aa69fd6a8fe3a6f615137c49b4cf3b1
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_0.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_0.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e72d21225fba3161e8ec9a1eea10b9c10e7160dfd0e6c53489fc7565cb2810c4
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_1.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_1.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,9af7fb169c1eebd5b800fee8dc2effe2e5ebc734ee9ee4b64b40e5d4b75a9dfe
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_2.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_2.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,ab69afa7e4957db5590114dae983eebac9d46bf49422677516bba3ed4902ff36
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_3.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_3.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,1c234022bf4ed373b16acaceeb6a2bb4f8322d1eb3c43c78328806d515dca314
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_4.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_4.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,02bb6de169763fc0b9f05c2a761507a5ba9767e4ff0e97d4c9f2d306ec2f1cb3
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_5.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_5.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,fe1dec0023ad73ed6809f208812b92c25ba148d47fa131593f59b5ecb09a5889
mesh/programmed_off_reference/mos2_gaa_programmed_off_reference_6.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_off_reference_6.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,b61b68fc26601fcaeeaa2ae11fbfc126b54da6395bbff5971b972f36f002fbc6
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference.visit,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference.visit,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,66ef263549688089518b63c572f39e551af9704d98c9fb88e16e7210dd08d2f3
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference.vtm,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference.vtm,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,802a7808df5045db263ceb8294a1ae3a035d1f75c114c8396c15d7e5586d27b3
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_0.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_0.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,e72d21225fba3161e8ec9a1eea10b9c10e7160dfd0e6c53489fc7565cb2810c4
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_1.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_1.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,3b22f8bd6bca69a8e529285301c8aee9a47daf6dc6a985912820fde13d5ab229
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_2.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_2.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,107f5425e07933fcd5917716c59936d081b3fac39a3d84e2f95fc95d5645a563
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_3.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_3.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,0db33b6657cc703640644656dd54bd2a2b541c2bb8248a98e3612ccfa3ecd09c
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_4.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_4.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,02bb6de169763fc0b9f05c2a761507a5ba9767e4ff0e97d4c9f2d306ec2f1cb3
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_5.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_5.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,202ca3e1147e8132dbda6481693569a09b9182be41ee9c3de7428551939cdcf7
mesh/programmed_on_reference/mos2_gaa_programmed_on_reference_6.vtu,visualization,Compact-model handoff artifact: mos2_gaa_programmed_on_reference_6.vtu,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,6d436338f5bb08016771bd363382e594b4908cc37516d58d07c99d83ace5a235
metrics_by_state.csv,electrical_data,Compact-model handoff artifact: metrics_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,c970091455f535666f8a4b5f1f75b50920ed5116ead4feaaf611c20d98ba9c7b
region_contact_map.csv,metadata,Compact-model handoff artifact: region_contact_map.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,c9d11628f22fbff82669d16d9e20a3be7dcc81e01d412605fa3d777f4dea388e
reproducibility_report.csv,metadata,Compact-model handoff artifact: reproducibility_report.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,bbf4cffcadee85c347045a91d00bb11917a85ba3618b284dd47d5e2447e6028c
simulation_conditions.csv,metadata,Compact-model handoff artifact: simulation_conditions.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,567d9236b8e2f3a0d14a67331fb6c7010189ea95c693550fd377723b206ee042
terminal_charge_by_state.csv,charge_capacitance_data,Compact-model handoff artifact: terminal_charge_by_state.csv,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,093a2a0d0c1cdd1c0374f7c4b3a0ee706394e84017035364025a299c24f2676f
terminal_charge_capacitance_README.md,documentation,Compact-model handoff artifact: terminal_charge_capacitance_README.md,04_charge_trap/run_final_handoff.py,mos2_gaa_final_3_5_16nm_v1,literature_nominal_al2o3_8p9_hfo2_19p65_v1,93811c52f6504a173c9be4fb9ef2067dac48d90f07b4ea424005e797189e916a
