state_index,state,ntrap_cm3,nsheet_cm2,VGS_V,VDS_V,perturbed_terminal,measured_terminal,capacitance_F,delta_voltage_V,method,supported,limitation,converged,error_message
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,gate,4.184822758850596e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,gate,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,gate,-2.0924113773763974e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,drain,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,gate,-2.0924113814761245e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,-1.0,0.05,source,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,gate,5.142453198807624e-17,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,gate,-4.1969963893404437e-17,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,gate,-9.454567814527571e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,gate,5.142453192601507e-17,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,gate,-4.1969349511207326e-17,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,gate,-9.45518126589963e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,gate,5.142453167231925e-17,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,gate,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,gate,-4.1966892292025216e-17,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,drain,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,gate,-9.457634774209167e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
0,State_0_Empty,0.0,0.0,3.0,0.05,source,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,gate,4.1848227551580105e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,gate,-2.0924113756989124e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,gate,-2.092411379519187e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,gate,4.1848227552242625e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,gate,-2.09241137568389e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,gate,-2.0924113795257352e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,gate,4.184822755195951e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,gate,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,gate,-2.0924113756879346e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,drain,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,gate,-2.0924113795157204e-18,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,-1.0,0.05,source,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,gate,5.141183781068157e-17,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,gate,-4.1957436976055117e-17,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,gate,-9.454400539272003e-18,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,drain,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,source,nan,0.0005,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,gate,5.141183774287035e-17,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,gate,-4.195682286494882e-17,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,gate,-9.455013701680613e-18,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,drain,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,source,source,nan,0.001,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,gate,5.141183747911039e-17,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,gate,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,gate,-4.1954366743075314e-17,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,True,,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,drain,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
1,State_1,2e+17,100000000000.0,3.0,0.05,drain,source,nan,0.002,central difference of DEVSIM gate contact charge with fixed Ntrap and adaptive bias micro-ramps,False,Qd/Qs compact-model channel-charge partition is not defined by the present conducting-contact DC model; values remain NaN. Source/drain Poisson boundary fluxes are diagnostics only.,True,
